PAÍS,SOLICITANTES,ABANDONOS,DESISTIDOS,CANCELACIÓN DE REFUGIO,EN TRÁMITE,SOLICITANTES QUE CONCLUYERON PROCEDIMIENTO,RECONOCIDOS,PC,NO RECONOCIDOS
HONDURAS,4129,1053,157,0,55,2864,1254,348,1262
SALVADOR,3493,860,103,1,40,2489,1412,262,815
GUATEMALA,437,96,12,0,3,326,142,41,143
VENEZUELA,361,11,2,0,6,342,340,2,0
NICARAGUA,70,16,5,0,1,48,6,4,38
HAITI,47,19,4,0,1,23,7,0,16
COLOMBIA,44,6,0,0,3,35,10,3,22
CUBA,43,21,9,0,0,13,2,1,10
CAMERUN,23,9,7,0,0,7,1,0,6
ECUADOR,20,11,5,0,0,4,0,1,3
GHANA,16,0,0,0,1,15,0,0,15
ESTADOS UNIDOS,15,3,0,0,1,11,1,0,10
ALBANIA,9,2,0,0,1,6,0,4,2
IRAK,9,0,1,0,0,8,8,0,0
RUSIA,8,0,0,0,0,8,8,0,0
SIRIA,7,2,0,0,0,5,5,0,0
TOGO,6,1,0,0,0,5,0,0,5
REP. DEM DEL CONGO,5,0,0,0,0,5,0,1,4
SIERRA LEONA,5,0,0,0,0,5,1,0,4
PAKISTAN,4,0,1,0,1,2,1,0,1
INDIA,4,1,0,0,0,3,0,0,3
IRAN,3,1,2,0,0,0,0,0,0
NIGERIA,3,0,0,0,0,3,2,1,0
REP DOMINICANA,3,0,0,0,0,3,0,1,2
ARGENTINA,2,0,1,0,0,1,1,0,0
BENIN,2,2,0,0,0,0,0,0,0
BRASIL,2,2,0,0,0,0,0,0,0
CHINA,2,0,0,0,0,2,0,0,2
GEORGIA,2,2,0,0,0,0,0,0,0
PERU,2,0,0,0,0,2,1,0,1
UCRANIA,2,0,0,0,0,2,1,1,0
ERITREA,2,2,0,0,0,0,0,0,0
UGANDA,2,1,1,0,0,0,0,0,0
ALEMANIA,1,1,0,0,0,0,0,0,0
BOLIVIA,1,0,0,0,0,1,0,1,0
CONGO,1,0,0,0,0,1,1,0,0
EGIPTO,1,0,1,0,0,0,0,0,0
GUINEA,1,0,1,0,0,0,0,0,0
ITALIA,1,0,0,0,0,1,0,0,1
JAMAICA,1,0,0,0,0,1,0,0,1
LIBERIA,1,0,1,0,0,0,0,0,0
SENEGAL,1,0,0,0,0,1,0,0,1
TURQUIA,1,0,0,0,0,1,1,0,0
UZBESKISTAN,1,0,1,0,0,0,0,0,0
BELICE/SALVADOR,1,0,0,0,0,1,0,0,1
PANAMA,1,0,0,0,0,1,0,0,1
URUGUAY,1,0,0,0,1,0,0,0,0
TOTALES,8796,2122,314,1,114,6245,3205,671,2369
